日期,市場別,代號,名稱,狀態,原始資料
2026-07-21,上櫃,6173,信昌電(../../mainboard/listed/company-detail.html?code=6173),處置,1 | 115/07/21 | 6173 | 信昌電(../../mainboard/listed/company-detail.html?code=6173) | 7 | 115/07/22~115/08/04 | 因連續3個營業日達本中心作業要點第四條第一項第一款(./attention.html) | 信昌電子陶瓷股份有限公司股票(代號：6173)最近30個營業日內曾發布處置，又因連續3個營業日達本中心作業要點第四條第一項第一款經本中心公布注意交易資訊，爰自115年7月22日起10個營業日(115年7月22日至115年8月4日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)改以人工管制之撮合終端機執行撮合作業(約每20分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。信用交易部分，則收足融資自備款或融券保證金。但信用交易了結及違約專戶委託買賣該有價證券時，不在此限。 | 175.00 | 46.92 | 公布注意情形(./attention.html?code=6173&startDate=20260621&endDate=20260721&type=code) 財務業務資訊及股權異動(https://mops.twse.com.tw/mops/#/web/t146sb05?companyId=6173) 財務資訊重點專區(https://mops.twse.com.tw/mops/#/web/t211sb01_q1) 交易資訊重點專區(https://mops.twse.com.tw/mops/#/web/t211sb05)
2026-07-21,上櫃,6182,合晶,注意,2 | 6182 | 合晶 | 16 | 最近六個營業日(含當日)累積之最後成交價跌幅達36.17%(第一款)當日週轉率達21.64%(第四款)最近六個營業日(自當日之前一個營業日起)之當日沖銷成交量占總成交量比率達61.77%，當日之前一個營業日當日沖銷成交量占總成交量達60.13%（第十三款) | 115/07/21 | 130.00 | 3250.00 | ../../mainboard/listed/company-detail.html?code=6182
2026-07-21,上櫃,61828,合晶八,注意,2 | 61828 | 合晶八 | 16 | 最近六個營業日(含當日)累積之最後成交價跌幅達34.64%(第一款) | 115/07/21 | 399.00 | N/A | ../../mainboard/listed/company-detail.html?code=61828
2026-07-21,上市,6213,聯茂,注意,160 | 6213 | 聯茂 | 8 | 07月20日之最近六個營業日之當日沖銷成交量占最近六個營業日總成交量比率66.38%，且07月20日當日沖銷成交量占該日總成交量比率77.07%﹝第十三款﹞。 | 115.07.21 | 354.50 | 86.67
2026-07-21,上櫃,6217,中探針,注意,2 | 6217 | 中探針 | 16 | 最近六個營業日(含當日)累積之最後成交價跌幅達34.66%(第一款)當日週轉率達14.16%(第四款) | 115/07/21 | 169.00 | N/A | ../../mainboard/listed/company-detail.html?code=6217
2026-07-21,上市,6243,迅杰,注意,162 | 6243 | 迅杰 | 7 | 最近六個營業日累積收盤價漲幅達37.33%﹝第一款﹞。且07月21日之週轉率為10.63%﹝第四款﹞。 | 115.07.21 | 51.00 | -----
2026-07-21,上市,6477,安集,注意,171 | 6477 | 安集 | 2 | 最近六個營業日之累積週轉率為52.19%。且07月21日之週轉率為17.57%﹝第十款﹞。 | 115.07.21 | 42.35 | 470.56
2026-07-21,上櫃,6488,環球晶,注意,2 | 6488 | 環球晶 | 16 | 最近六個營業日(含當日)起迄兩個營業日之最後成交價價差達新臺幣304.3元(第十一款) | 115/07/21 | 1205.00 | 74.34 | ../../mainboard/listed/company-detail.html?code=6488
2026-07-21,上櫃,66722,騰輝電子二KY,注意,2 | 66722 | 騰輝電子二KY | 16 | 最近六個營業日(含當日)累積之最後成交價跌幅達29.49%且最近六個營業日(含當日)起迄兩個營業日之最後成交價價差達新臺幣56元(第一款) | 115/07/21 | 244.00 | N/A | ../../mainboard/listed/company-detail.html?code=66722
2026-07-21,上櫃,6683,雍智科技,注意,2 | 6683 | 雍智科技 | 16 | 最近六個營業日(含當日)累積之最後成交價跌幅達33.82%(第一款) | 115/07/21 | 1170.00 | 66.29 | ../../mainboard/listed/company-detail.html?code=6683
2026-07-21,上櫃,6683,雍智科技(../../mainboard/listed/company-detail.html?code=6683),處置,"1 | 115/07/21 | 6683 | 雍智科技(../../mainboard/listed/company-detail.html?code=6683) | 7 | 115/07/22~115/08/04 | 因連續3個營業日達本中心作業要點第四條第一項第一款(./attention.html) | 雍智科技股份有限公司股票(代號：6683)最近30個營業日內曾發布處置，又因連續3個營業日達本中心作業要點第四條第一項第一款經本中心公布注意交易資訊，爰自115年7月22日起10個營業日(115年7月22日至115年8月4日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)改以人工管制之撮合終端機執行撮合作業(約每20分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。信用交易部分，則收足融資自備款或融券保證金。但信用交易了結及違約專戶委託買賣該有價證券時，不在此限。 | 1,170.00 | 66.29 | 公布注意情形(./attention.html?code=6683&startDate=20260621&endDate=20260721&type=code) 財務業務資訊及股權異動(https://mops.twse.com.tw/mops/#/web/t146sb05?companyId=6683) 財務資訊重點專區(https://mops.twse.com.tw/mops/#/web/t211sb01_q1) 交易資訊重點專區(https://mops.twse.com.tw/mops/#/web/t211sb05)"
2026-07-21,上櫃,6727,亞泰金屬,注意,2 | 6727 | 亞泰金屬 | 16 | 最近六個營業日(含當日)累積之最後成交價跌幅達31.04%(第一款) | 115/07/21 | 332.50 | 39.12 | ../../mainboard/listed/company-detail.html?code=6727
2026-07-21,上櫃,6727,亞泰金屬(../../mainboard/listed/company-detail.html?code=6727),處置,1 | 115/07/21 | 6727 | 亞泰金屬(../../mainboard/listed/company-detail.html?code=6727) | 7 | 115/07/22~115/08/04 | 因連續3個營業日達本中心作業要點第四條第一項第一款(./attention.html) | 亞泰金屬工業股份有限公司股票(代號：6727)因連續3個營業日達本中心作業要點第四條第一項第一款經本中心公布注意交易資訊，爰自115年7月22日起10個營業日(115年7月22日至115年8月4日，如遇休市、有價證券停止買賣、全日暫停交易則順延執行)改以人工管制之撮合終端機執行撮合作業(約每5分鐘撮合一次)，各證券商於投資人每日委託買賣該有價證券數量單筆達10交易單位或多筆累積達30交易單位以上時，應就其當日已委託之買賣，向該投資人收取全部之買進價金或賣出證券。信用交易部分，則收足融資自備款或融券保證金。但信用交易了結及違約專戶委託買賣該有價證券時，不在此限。 | 332.50 | 39.12 | 公布注意情形(./attention.html?code=6727&startDate=20260621&endDate=20260721&type=code) 財務業務資訊及股權異動(https://mops.twse.com.tw/mops/#/web/t146sb05?companyId=6727) 財務資訊重點專區(https://mops.twse.com.tw/mops/#/web/t211sb01_q1) 交易資訊重點專區(https://mops.twse.com.tw/mops/#/web/t211sb05)
2026-07-21,上櫃,705468,信昌電元大59購01,注意,2 | 705468 | 信昌電元大59購01 | 16 | 最近六個營業日(含當日)累積之最後成交價跌幅達55.77%(第一款) | 115/07/21 | 9.60 | N/A | ../../mainboard/listed/company-detail.html?code=705468
