日期,代號,名稱,市場別,收盤價,漲跌幅,成交量,本益比,主力淨買超
2026-07-06,1236,宏亞,上市,25.55,-0.05,85256,,4000.0
2026-07-06,1240,茂生農經,上櫃,58.5,0.3,12000,12.53,-1000.0
2026-07-06,1256,鮮活果汁-KY,上市,199.0,6.0,173009,15.03,1091.0
2026-07-06,1259,安心,上櫃,56.4,-0.3,6000,25.18,3000.0
2026-07-06,1264,德麥,上櫃,272.0,1.0,59000,13.1,-21000.0
2026-07-06,1268,漢來美食,上櫃,171.5,1.0,61000,14.78,6050.0
2026-07-06,1294,漢田生技,上櫃,61.0,-1.0,95000,12.47,-32318.0
2026-07-06,1295,生合,上櫃,49.3,0.9,31000,11.33,6000.0
2026-07-06,1301,台塑,上市,60.4,-1.7,75892637,,-5189591.0
2026-07-06,1303,南亞,上市,185.0,-12.0,25164642,80.09,-2577162.0
2026-07-06,1304,台聚,上市,14.7,-0.8,31764016,,-1581970.0
2026-07-06,1305,華夏,上市,14.1,-0.75,8373855,,-249285.0
2026-07-06,1307,三芳,上市,33.15,0.0,2761151,12.1,-887130.0
2026-07-06,1308,亞聚,上市,15.5,-0.35,17773474,,-707245.0
2026-07-06,1309,台達化,上市,15.6,-1.1,16674364,,415873.0
2026-07-06,1310,台苯,上市,11.8,0.4,38501497,,-110631.0
2026-07-06,1312,國喬,上市,14.15,-0.95,45851882,,-7142740.0
2026-07-06,1312A,國喬特,上市,22.15,-0.1,8000,,
2026-07-06,1313,聯成,上市,13.55,-0.75,35079980,,1028848.0
2026-07-06,1314,中石化,上市,10.4,0.52,368709661,,22266356.0
2026-07-06,1315,達新,上市,64.3,0.3,21076,41.75,-1000.0
2026-07-06,1316,上曜,上市,10.75,-0.2,2539821,,-707150.0
2026-07-06,1319,東陽,上市,78.0,0.8,3448354,14.0,473130.0
2026-07-06,1321,大洋,上市,32.1,0.2,167423,,66814.0
2026-07-06,1323,永裕,上市,20.5,0.05,227950,36.61,-6000.0
2026-07-06,1324,地球,上市,10.6,-0.25,158437,,-41000.0
2026-07-06,1325,恆大,上市,25.35,0.0,128577,,-28978.0
2026-07-06,1326,台化,上市,67.6,-0.4,129752660,450.67,-15681885.0
2026-07-06,1336,台翰,上櫃,14.65,-0.35,215000,39.59,1025.0
2026-07-06,1337,再生-KY,上市,5.55,-0.06,3990720,,-600523.0
2026-07-06,1338,廣華-KY,上市,17.65,0.05,116993,,-8000.0
2026-07-06,1339,昭輝,上市,45.45,0.7,227814,10.74,62001.0
2026-07-06,1340,勝悅-KY,上市,5.83,-0.01,1096468,,-81483.0
2026-07-06,1341,富林-KY,上市,57.7,-0.8,8476,14.14,5000.0
2026-07-06,1342,八貫,上市,116.5,1.0,576560,19.58,163108.0
2026-07-06,1402,遠東新,上市,29.1,0.0,12555083,18.07,-1861694.0
2026-07-06,1409,新纖,上市,30.25,-0.75,145215698,22.41,11338638.0
2026-07-06,1410,南染,上市,26.2,0.55,418412,48.52,3000.0
2026-07-06,1413,宏洲,上市,9.5,-0.06,64500,22.62,6000.0
2026-07-06,1414,東和,上市,19.55,0.1,190268,67.41,-54059.0
2026-07-06,1416,廣豐,上市,11.2,0.0,300228,13.02,-29000.0
2026-07-06,1417,嘉裕,上市,9.1,-0.02,598021,20.22,193000.0
2026-07-06,1418,東華,上市,18.55,0.1,215099,,-19845.0
2026-07-06,1419,新紡,上市,68.3,2.1,531538,5.19,98000.0
2026-07-06,1423,利華,上市,36.65,-0.3,32585,9.72,-99.0
2026-07-06,1432,大魯閣,上市,15.3,0.1,319052,2.81,-91999.0
2026-07-06,1434,福懋,上市,18.95,0.05,15464215,31.58,2222555.0
2026-07-06,1435,中福,上市,26.8,-2.95,30494,,
2026-07-06,1436,華友聯,上市,45.6,0.0,332284,10.6,-55000.0
2026-07-06,1437,勤益控,上市,31.55,0.45,170955,11.39,69880.0
2026-07-06,1438,三地開發,上市,22.2,-0.3,39155,8.04,-4000.0
2026-07-06,1439,雋揚,上市,24.2,0.1,8935,7.86,2000.0
2026-07-06,1440,南紡,上市,14.6,0.15,14971697,,-1983206.0
2026-07-06,1441,大東,上市,9.55,-0.14,80956,,-5000.0
2026-07-06,1442,名軒,上市,28.7,0.2,483992,14.64,169000.0
2026-07-06,1443,立益物流,上市,26.4,0.05,10130,24.0,0.0
2026-07-06,1444,力麗,上市,9.15,-0.8,15947409,,-192200.0
2026-07-06,1445,大宇,上市,12.05,-0.55,253611,,-22063.0
2026-07-06,1446,宏和,上市,17.4,-0.3,1010054,10.24,-116000.0
2026-07-06,1447,力鵬,上市,9.51,-0.48,20850345,,-602000.0
2026-07-06,1449,佳和,上市,14.75,0.2,3633602,,95000.0
2026-07-06,1451,年興,上市,17.45,0.05,228953,19.61,65000.0
