代號,更新日期,名稱,市場別,產業別,實收資本額,發行股數
2247,2026-08-30,汎德永業汽車股份有限公司,上市,汽車工業,807087350,80708735
2248,2026-08-30,華勝汽車電子股份有限公司,上市,汽車工業,476000000,47600000
2250,2026-08-30,第一化成控股(開曼)股份有限公司,上市,汽車工業,363882260,36388226
2254,2026-08-30,巨鎧精密工業股份有限公司,上市,汽車工業,639076800,63907680
2258,2026-08-30,鴻華先進科技股份有限公司,上市,汽車工業,17510768000,1751076800
2301,2026-08-30,光寶科技股份有限公司,上市,電腦及週邊,23161077630,2316107763
2302,2026-08-30,麗正國際科技股份有限公司,上市,半導體業,1663028810,166302881
2303,2026-08-30,聯華電子股份有限公司,上市,半導體業,125700938990,12570093899
2305,2026-08-30,全友電腦股份有限公司,上市,電腦及週邊,2056608270,205660827
2308,2026-08-30,台達電子工業股份有限公司,上市,電子零組件,25975433290,2597543329
2312,2026-08-30,金寶電子工業股份有限公司,上市,其他電子業,15057812110,1505781211
2313,2026-08-30,華通電腦股份有限公司,上市,電子零組件,12338205890,1233820589
2314,2026-08-30,台揚科技股份有限公司,上市,通信網路業,1085964220,108596422
2316,2026-08-30,楠梓電子股份有限公司,上市,電子零組件,1827405360,182740536
2317,2026-08-30,鴻海精密工業股份有限公司,上市,其他電子業,140286486260,14028648626
2321,2026-08-30,東訊股份有限公司,上市,通信網路業,165550600,16555060
2323,2026-08-30,中環股份有限公司,上市,光電業,9804134950,980413495
2324,2026-08-30,仁寶電腦工業股份有限公司,上市,電腦及週邊,44071466250,4407146625
2327,2026-08-30,國巨股份有限公司,上市,電子零組件,5146826720,2058730688
2328,2026-08-30,廣宇科技股份有限公司,上市,電子零組件,5183462820,518346282
2329,2026-08-30,華泰電子股份有限公司,上市,半導體業,6589483330,658948333
2330,2026-08-30,台灣積體電路製造股份有限公司,上市,半導體業,259323700670,25932370067
2331,2026-08-30,精英電腦股份有限公司,上市,電腦及週邊,5574029680,557402968
2332,2026-08-30,友訊科技股份有限公司,上市,通信網路業,6021703730,602170373
2337,2026-08-30,旺宏電子股份有限公司,上市,半導體業,19818566380,1981856638
2338,2026-08-30,台灣光罩股份有限公司,上市,半導體業,3668491830,366849183
2340,2026-08-30,台亞半導體股份有限公司,上市,半導體業,4386228460,438622846
2342,2026-08-30,台灣茂矽電子股份有限公司,上市,半導體業,1573352440,157335244
2344,2026-08-30,華邦電子股份有限公司,上市,半導體業,45000001930,4500000193
2345,2026-08-30,智邦科技股份有限公司,上市,通信網路業,5611178970,561117897
2347,2026-08-30,聯強國際股份有限公司,上市,電子通路業,16679469680,1667946968
2348,2026-08-30,海悅國際開發股份有限公司,上市,其他,1894855960,159485596
2349,2026-08-30,錸德科技股份有限公司,上市,光電業,6936796630,693679663
